All Sites Combined. ADD ALL NEW DATA TO THE REGION-SPECIFIC TAB. Last Updated 7 July 2023,,,,,,,,,,
Sample & GPS Pt Name,Date,Fresh/Old,Species,Latitude,Longitude,Collector,Pic?,Entire Scat?,Date Entry/Initials,
AN 1,24 Oct 22,O,Bobcat,37.12596,-122.33492,ZR,TRUE,FALSE,9 Nov 22 / ZR,
AN 2,24 Oct 22,O,Coyote?,37.12601,-122.33463,SW,TRUE,TRUE,9 Nov 22 / ZR,
AN 3,24 Oct 22,O,Bobcat,37.1264,-122.33204,ZR,TRUE,FALSE,9 Nov 22 / ZR,
AN 4,24 Oct 22,O,Coyote?,37.1264,-122.33205,SW,TRUE,TRUE,9 Nov 22 / ZR,
AN 5,14 Nov 22,O,Coyote?,37.12661,-122.33618,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 6,14 Nov 22,O,Coyote?,37.12663,-122.33396,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 7,14 Nov 22,O,Coyote,37.12663,-122.334,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 8,28 Nov 22,O,Coyote,37.13221,-122.32184,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 9,28 Nov 22,O,Coyote,37.13076,-122.32552,AGB,TRUE,TRUE,5 Dec 22 / ZR,
AN 10,28 Nov 22,O,Coyote?,37.12867,-122.33057,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 11,28 Nov 22,O,Mountain Lion,37.12794,-122.33139,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 12,28 Nov 22,O,Coyote,37.1274,-122.33105,ZR,FALSE,TRUE,5 Dec 22 / ZR,
AN 13,28 Nov 22,F,Bobcat,37.12599,-122.33465,AGB,TRUE,TRUE,5 Dec 22 / ZR,
AN 14,4 Dec 22,O,Coyote?,37.12098,-122.33739,AGB,FALSE,TRUE,5 Dec 22 / ZR,
AN 15,5 Dec 22,O,Mountain Lion,37.12599,-122.32889,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 16,5 Dec 22,O,Fox?,37.12596,-122.32898,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 17,5 Dec 22,O,Coyote?,37.12593,-122. 32903,ZR,TRUE,TRUE,5 Dec 22 / ZR,
AN 18,5 Dec 22,F,Mountain Lion,37.1264,-122.32986,ZR,TRUE,TRUE,5 Dec 22 / ZR,
YL 1,17 Oct 22,O,Coyote,36.94995,-122.06656,FG,FALSE,TRUE,11 Nov. 22 / SW,
YL 2,3 Oct 22,O,Bobcat,36.95331,-122.06673,FG,TRUE,TRUE,12 Nov. 22 / SW,
YL 3,3 Oct 22,O,Bobcat,36.95420,-122.06583,FG,TRUE,TRUE,13 Nov. 22 / SW,
YL 4,3 Oct 22,O,Bobcat,36.95579,-122.06517,FG,TRUE,TRUE,14 Nov. 22 / SW,
YL 5,17 Oct 22,O,Bobcat ,36.94991,-122.06760,AGB,TRUE,TRUE,15 Nov. 22 / SW,
YL 6,17 Oct 22,O,Unknown,36.95015,-122.06662,ZR,TRUE,TRUE,16 Nov. 22 / SW,
